id,created_at,favorite_count,retweet_count,text,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
991752712168538117,2018-05-02 18:54:07,2,2,b'TheSkimm founders\xe2\x80\x99 key to success meant ditching the ways of traditional media and embracing an audience-driven strategy https://t.co/FKy6Xksupx https://t.co/7ytZJMPqbQ',32,98.29,50.00,1.00,81.93,32.00,31.25,43.75,15.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25,6.25,0.00,0.00,3.12,0.00,3.12,0.00,0.00,0.00,0.00,0.00,3.12,3.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.12,3.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.62,3.12,12.50,0.00,3.12,0.00,3.12,0.00,0.00,3.12,3.12,0.00,0.00,3.12,0.00,0.00,0.00,0.00,0.00,9.38,0.00,9.38,0.00,0.00,0.00,37.50,6.25,0.00,0.00,0.00,0.00,0.00,3.12,0.00,6.25,0.00,21.88
991749827099873281,2018-05-02 18:42:39,14,15,"b""Veteran D.C. lawyer Emmet Flood has represented George W. Bush, Bill Clinton and Dick Cheney. And now, he could be joining Donald Trump's legal team https://t.co/CwXkb2tjce""",32,46.07,62.28,1.00,25.77,8.00,15.62,50.00,21.88,3.12,3.12,0.00,0.00,0.00,3.12,0.00,0.00,0.00,0.00,9.38,3.12,6.25,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25,0.00,0.00,0.00,3.12,3.12,0.00,0.00,3.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.12,3.12,0.00,3.12,0.00,12.50,6.25,3.12,6.25,0.00,0.00,0.00,9.38,0.00,3.12,0.00,0.00,3.12,9.38,3.12,0.00,3.12,0.00,0.00,9.38,3.12,6.25,0.00,0.00,0.00,37.50,15.62,6.25,0.00,0.00,0.00,0.00,0.00,6.25,3.12,0.00,6.25
991749203813642245,2018-05-02 18:40:10,7,6,b'A data-driven health commissioner figured out a way to slow overdose deaths. But treating addiction is a much harder problem https://t.co/YfRHu9qTay https://t.co/rGByVczZBX',32,98.29,37.72,18.52,1.42,16.00,25.00,62.50,21.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.38,6.25,3.12,0.00,3.12,0.00,3.12,6.25,3.12,0.00,0.00,3.12,3.12,0.00,3.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.38,3.12,0.00,3.12,0.00,0.00,3.12,3.12,0.00,0.00,3.12,6.25,0.00,6.25,0.00,0.00,6.25,0.00,3.12,0.00,0.00,3.12,0.00,3.12,0.00,12.50,6.25,6.25,3.12,0.00,0.00,0.00,0.00,0.00,3.12,9.38,0.00,9.38,0.00,0.00,0.00,31.25,9.38,0.00,0.00,0.00,0.00,0.00,3.12,0.00,6.25,0.00,12.50
991746727932846081,2018-05-02 18:30:20,130,84,"b'There are at least 156 people with ties to the Trump Organization, Trump 2016 campaign, transition or Trump administration that are connected to the Russia probe\nhttps://t.co/1rtmnqFLWf https://t.co/5IRLKS6cWq'",38,95.07,50.00,1.00,25.77,38.00,15.79,50.00,28.95,2.63,0.00,0.00,0.00,0.00,0.00,0.00,2.63,5.26,10.53,5.26,2.63,2.63,0.00,5.26,2.63,2.63,0.00,5.26,2.63,0.00,0.00,0.00,0.00,0.00,0.00,2.63,0.00,0.00,0.00,0.00,2.63,0.00,0.00,0.00,2.63,0.00,2.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,0.00,5.26,0.00,0.00,0.00,5.26,0.00,2.63,0.00,2.63,0.00,5.26,0.00,0.00,0.00,0.00,0.00,7.89,0.00,7.89,0.00,0.00,0.00,28.95,5.26,5.26,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,13.16
991742443585499137,2018-05-02 18:13:18,1,3,b'From weird and wonky to glitz and glamour: Inside L.A.\xe2\x80\x99s Milken conference https://t.co/yAv9CL5XYd https://t.co/GphwNthcN1',27,97.65,50.00,1.00,25.77,27.00,14.81,48.15,22.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.70,11.11,0.00,0.00,7.41,0.00,0.00,3.70,0.00,0.00,0.00,0.00,7.41,3.70,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.70,0.00,0.00,0.00,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.70,0.00,3.70,0.00,3.70,0.00,0.00,0.00,0.00,0.00,11.11,0.00,11.11,0.00,0.00,0.00,51.85,14.81,0.00,3.70,0.00,0.00,0.00,0.00,0.00,7.41,0.00,25.93
991739173026582528,2018-05-02 18:00:19,11,8,b'The race between Michael Grimm and Dan Donovan is shaping up to the nastiest Republican congressional primary in America \xe2\x80\x93 and there\xe2\x80\x99s been a whole lot of finger pointing https://t.co/fW7g2PIjvs https://t.co/XeNMGilYPF',45,97.34,50.00,1.00,3.92,45.00,26.67,48.89,28.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,11.11,4.44,2.22,4.44,0.00,6.67,0.00,0.00,0.00,0.00,4.44,2.22,0.00,2.22,0.00,2.22,0.00,0.00,0.00,0.00,0.00,0.00,2.22,0.00,0.00,0.00,2.22,0.00,0.00,2.22,0.00,0.00,2.22,2.22,2.22,0.00,0.00,0.00,4.44,0.00,0.00,4.44,0.00,0.00,2.22,2.22,0.00,6.67,0.00,6.67,0.00,2.22,0.00,0.00,0.00,0.00,0.00,6.67,0.00,6.67,0.00,0.00,0.00,31.11,4.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.44,0.00,22.22
991735356147019781,2018-05-02 17:45:09,58,29,b'President Donald Trump might be able to get rid of special counsel Robert Mueller \xe2\x80\x94 but he can\xe2\x80\x99t kill off the Russia probe https://t.co/Q4cXyvB3GA https://t.co/Qh21Yk2Ze8',39,89.98,60.13,1.00,25.77,39.00,15.38,46.15,23.08,2.56,2.56,0.00,0.00,0.00,2.56,0.00,0.00,2.56,7.69,7.69,0.00,2.56,0.00,7.69,2.56,0.00,0.00,0.00,0.00,5.13,2.56,2.56,0.00,2.56,0.00,5.13,0.00,0.00,0.00,2.56,5.13,0.00,0.00,0.00,2.56,0.00,2.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,2.56,2.56,2.56,0.00,0.00,7.69,2.56,2.56,0.00,2.56,0.00,5.13,0.00,0.00,0.00,0.00,2.56,7.69,0.00,7.69,0.00,0.00,0.00,35.90,5.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.13,0.00,25.64
991733756112318465,2018-05-02 17:38:47,60,22,"b""Ty Cobb, the lead White House lawyer on Trump's legal defense team, is retiring at the end of this month https://t.co/3ebR79BA10""",28,98.65,63.97,30.01,25.77,28.00,7.14,71.43,25.00,3.57,0.00,0.00,0.00,0.00,0.00,0.00,3.57,7.14,10.71,3.57,0.00,0.00,0.00,3.57,3.57,0.00,0.00,3.57,0.00,7.14,3.57,3.57,0.00,0.00,0.00,3.57,0.00,0.00,0.00,0.00,3.57,0.00,3.57,0.00,0.00,0.00,0.00,3.57,3.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,3.57,7.14,7.14,0.00,3.57,0.00,3.57,0.00,17.86,3.57,7.14,7.14,17.86,3.57,3.57,0.00,0.00,0.00,10.71,0.00,10.71,0.00,0.00,0.00,28.57,3.57,7.14,0.00,0.00,0.00,0.00,0.00,7.14,3.57,0.00,7.14
991732843251490817,2018-05-02 17:35:09,90,28,"b'A slight majority of those surveyed said Pruitt should be removed from his position as EPA administrator, a new POLITICO/Morning Consult poll shows https://t.co/R034YwWgcB https://t.co/5aGsqWCOiZ'",35,92.84,80.42,1.00,25.77,35.00,28.57,65.71,25.71,5.71,2.86,0.00,0.00,0.00,2.86,0.00,2.86,5.71,8.57,5.71,0.00,2.86,0.00,8.57,11.43,2.86,0.00,0.00,2.86,0.00,0.00,0.00,0.00,0.00,0.00,8.57,0.00,0.00,0.00,2.86,2.86,0.00,0.00,2.86,0.00,0.00,0.00,5.71,2.86,2.86,0.00,0.00,0.00,0.00,0.00,0.00,5.71,0.00,0.00,5.71,0.00,0.00,2.86,2.86,0.00,11.43,2.86,2.86,5.71,8.57,0.00,0.00,0.00,0.00,0.00,8.57,0.00,8.57,0.00,0.00,0.00,28.57,5.71,2.86,0.00,0.00,0.00,0.00,0.00,0.00,5.71,0.00,14.29
991730506961170433,2018-05-02 17:25:52,0,52,"b'RT @ZachMontellaro: Department of strange timing: ABC published an interview with White House lawyer Ty Cobb, where he said that an intervi\xe2\x80\xa6'",26,95.89,93.79,1.00,25.77,26.00,23.08,73.08,26.92,7.69,3.85,0.00,0.00,0.00,3.85,0.00,3.85,7.69,7.69,0.00,3.85,0.00,0.00,3.85,7.69,0.00,3.85,0.00,0.00,7.69,3.85,3.85,0.00,0.00,0.00,15.38,0.00,0.00,0.00,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,3.85,3.85,0.00,0.00,0.00,0.00,0.00,0.00,3.85,0.00,0.00,3.85,0.00,0.00,3.85,0.00,0.00,7.69,0.00,3.85,3.85,15.38,0.00,3.85,0.00,0.00,0.00,11.54,0.00,11.54,3.85,0.00,0.00,34.62,0.00,3.85,7.69,0.00,0.00,0.00,0.00,0.00,7.69,0.00,15.38
