id,created_at,favorite_count,retweet_count,text
991752712168538117,2018-05-02 18:54:07,2,2,b'TheSkimm founders\xe2\x80\x99 key to success meant ditching the ways of traditional media and embracing an audience-driven strategy https://t.co/FKy6Xksupx https://t.co/7ytZJMPqbQ'
991749827099873281,2018-05-02 18:42:39,14,15,"b""Veteran D.C. lawyer Emmet Flood has represented George W. Bush, Bill Clinton and Dick Cheney. And now, he could be joining Donald Trump's legal team https://t.co/CwXkb2tjce"""
991749203813642245,2018-05-02 18:40:10,7,6,b'A data-driven health commissioner figured out a way to slow overdose deaths. But treating addiction is a much harder problem https://t.co/YfRHu9qTay https://t.co/rGByVczZBX'
991746727932846081,2018-05-02 18:30:20,130,84,"b'There are at least 156 people with ties to the Trump Organization, Trump 2016 campaign, transition or Trump administration that are connected to the Russia probe\nhttps://t.co/1rtmnqFLWf https://t.co/5IRLKS6cWq'"
991742443585499137,2018-05-02 18:13:18,1,3,b'From weird and wonky to glitz and glamour: Inside L.A.\xe2\x80\x99s Milken conference https://t.co/yAv9CL5XYd https://t.co/GphwNthcN1'
991739173026582528,2018-05-02 18:00:19,11,8,b'The race between Michael Grimm and Dan Donovan is shaping up to the nastiest Republican congressional primary in America \xe2\x80\x93 and there\xe2\x80\x99s been a whole lot of finger pointing https://t.co/fW7g2PIjvs https://t.co/XeNMGilYPF'
991735356147019781,2018-05-02 17:45:09,58,29,b'President Donald Trump might be able to get rid of special counsel Robert Mueller \xe2\x80\x94 but he can\xe2\x80\x99t kill off the Russia probe https://t.co/Q4cXyvB3GA https://t.co/Qh21Yk2Ze8'
991733756112318465,2018-05-02 17:38:47,60,22,"b""Ty Cobb, the lead White House lawyer on Trump's legal defense team, is retiring at the end of this month https://t.co/3ebR79BA10"""
991732843251490817,2018-05-02 17:35:09,90,28,"b'A slight majority of those surveyed said Pruitt should be removed from his position as EPA administrator, a new POLITICO/Morning Consult poll shows https://t.co/R034YwWgcB https://t.co/5aGsqWCOiZ'"
991730506961170433,2018-05-02 17:25:52,0,52,"b'RT @ZachMontellaro: Department of strange timing: ABC published an interview with White House lawyer Ty Cobb, where he said that an intervi\xe2\x80\xa6'"
991730434609500160,2018-05-02 17:25:35,60,44,b'Former HHS Sec. Tom Price said Tuesday that GOP efforts to repeal an Obamacare mandate would harm insurance markets.\n\nThe next day he backpedaled https://t.co/N7yhvBiUOJ https://t.co/GiyWhC7eZc'
991730099622948864,2018-05-02 17:24:15,0,16,b'RT @BresPolitico: Michael Grimm needed an ugly GOP primary to have a chance to win his Staten Island seat back after a stint in prison. He\xe2\x80\x99\xe2\x80\xa6'
991723609159806976,2018-05-02 16:58:28,0,20,b'RT @playbookplus: The latest in Power Briefing: Ty Cobb leaving White House legal team as he says that an interview between Trump and Muell\xe2\x80\xa6'
991722397253455875,2018-05-02 16:53:39,18,19,b'Tom Price walks back remarks on mandate repeal https://t.co/vkNXacPZZs https://t.co/MnF9ZJk5Hq'
991719013884547078,2018-05-02 16:40:12,32,17,b'The race between former congressman (and convicted felon) Michael Grimm and Rep. Dan Donovan might be the nastiest Republican congressional primary in America.\nhttps://t.co/oaaFcmiBOp https://t.co/z4pYoHec58'
991716473029713921,2018-05-02 16:30:07,56,20,b'Trump aides and associates have warned the president that ousting Mueller would have messy political consequences. But it\xe2\x80\x99s also unlikely to solve many of his legal worries. https://t.co/r1CRM3nTFS https://t.co/x8omwcyGXY'
991714546237652992,2018-05-02 16:22:27,26,8,"b""Mike Pompeo\xe2\x80\x94now confirmed and sworn in\xe2\x80\x94is Trump's new secretary of state https://t.co/SixjXN2Ph3 https://t.co/6aH3fu3PgN"""
991713959135924224,2018-05-02 16:20:07,34,22,b'Chelsea Manning: Google and Facebook deliberately use biased algorithms https://t.co/Xs2eNlVPqW via @politicoeurope https://t.co/gyKWEKchSU'
991711571385647104,2018-05-02 16:10:38,0,8,"b'RT @morningmoneyben: The latest @POLITICO Money podcast from Los Angeles takes you inside the glitz, glamour, weirdness and wonkiness of th\xe2\x80\xa6'"
991711448580722690,2018-05-02 16:10:09,62,23,b'The immigrant doctor who\xe2\x80\x99s solving West Virginia\xe2\x80\x99s opioids crisis https://t.co/1rK29RaqKg via @POLITICOMag https://t.co/EdqOFmJt6m'
991708929120927744,2018-05-02 16:00:08,17,6,b'Trump touts renewed \xe2\x80\x98spirit\xe2\x80\x99 at State Dept. under Pompeo https://t.co/i7LiJsQjmj https://t.co/Y7TpsJ9T7p'
991706772493754368,2018-05-02 15:51:34,32,22,b'Basque militant group ETA formally announced it is disbanding https://t.co/1rWZcWazXD via @politicoeurope https://t.co/ZkIcB5cuCw'
991702639409758209,2018-05-02 15:35:08,70,48,b'Sen. Marco Rubio is walking back some of the criticism he leveled against the new Republican tax law earlier this week https://t.co/XdO6jGvqod https://t.co/eTlq2Y5TKO'
991700059992547329,2018-05-02 15:24:53,29,15,b'Trump suggests he may intervene in DOJ release of Clinton probe documents https://t.co/DQeQR29xcA https://t.co/Ifqrs47ZYF'
991699119633813504,2018-05-02 15:21:09,8,2,b'WATCH LIVE: Trump swears in Mike Pompeo https://t.co/zQ150U0Xql https://t.co/ddJL9uPlW1'
991697618832158722,2018-05-02 15:15:11,169,53,b'Mueller\xe2\x80\x99s decision to steer clear of the first daughter \xe2\x80\x94 at least for now \xe2\x80\x94 is a signal of his \xe2\x80\x9cdon\xe2\x80\x99t poke the bear until you have to\xe2\x80\x9d strategy https://t.co/64rbpibSar https://t.co/iRPW1mZ8nT'
991695357364133888,2018-05-02 15:06:12,0,74,"b'RT @anniekarni: Why is Mueller not interested in talking to Ivanka? A ""don\'t poke the bear until you have to"" strategy, per prosecutors htt\xe2\x80\xa6'"
991695069139947520,2018-05-02 15:05:03,21,16,b'Trump on Wednesday called the investigations into his 2016 campaign as a \xe2\x80\x9choax\xe2\x80\x9d and specifically called the obstruction of justice inquiry a \xe2\x80\x9ca setup\xe2\x80\x9d https://t.co/0Kqvc7yf10 https://t.co/djvYKFPKXV'
991692570882445314,2018-05-02 14:55:08,27,19,b'Chelsea Manning: Google and Facebook deliberately use biased algorithms https://t.co/FHrRwc4AXX via @politicoeurope https://t.co/2XVn3WDO8a'
991690047941378050,2018-05-02 14:45:06,14,7,"b'Some New Jersey Republicans, staring down an electoral cliff, think they\xe2\x80\x99ve spotted a branch to hold on to in Sen. Robert Menendez\xe2\x80\x99s ethical troubles https://t.co/rbBGSY2oo0 https://t.co/REYLcRrFCa'"
991687521095602176,2018-05-02 14:35:04,96,27,"b'A slight majority of those surveyed said Pruitt should be removed from his position as EPA administrator, a new POLITICO/Morning Consult poll shows https://t.co/oKoWQRer1Y https://t.co/dC6g9uWJb3'"
991686211961057280,2018-05-02 14:29:52,82,57,b'Rubio walks back criticism of GOP tax law https://t.co/Qzea6yGW2U https://t.co/MVuRdwQSV1'
